subject,property,current_or_latest,start_time
Viktor_Voronkov,position,,
Radama_II,spouse,,
Joe_Magliolo,position,,
Vladimir_Filippov_(footballer),position,,
Tyler_Brown,position,,
Thomas_Klestil,spouse,,
Ruslan_Takliyev,position,,
Henry_IV_of_Castile,spouse,,
Lady_Caroline_Faber,nationality,,
Elidiano_Marques_Lima,position,,
Filippo_Maria_Visconti,spouse,,
Alex_Kiwomya,position,,
Ceolwulf_I_of_Mercia,nationality,,
Tanja_Fajon,party,,
Pat_Richter,position,,
Doug_Finley,nationality,,
D._G._Hathiramani,nationality,,
Muhammad_Ismail,party,All-India Muslim League,1947
Fay_Boozman,party,,
Neil_Dodgson,nationality,,
Benjamin_Wade,party,,
Pichet_In-bang,position,,
Bill_Allen_(basketball),position,,
Lukas_Verzbicas,nationality,,
Nick_Holmes_(footballer),position,,
Dmitry_Aleksandriysky,position,,
Mbulelo_Mabizela,position,,
Max_Bergmann,nationality,,
Robert_Kingston_Scott,country,,
Tu_Chu-hsien,position,,
Knud_Rasmussen,nationality,,
Tangela_Smith,position,,
Reinhard_Kienast,position,,
Bruno_Mahlow_(son),party,,
Doris_Tetzlaff,position,,
John_II_of_Aragon_and_Navarre,spouse,,
Isaac_Gilinski_Sragowicz,country,,
Klaas_de_Vries_(Christian_Democratic_Appeal),party,Christian Democratic Appeal,1980
Timothy_Daniel_Sullivan,party,,
Michael_Hickford,country,,
James_McCombs,party,New Zealand Labour Party,1916
Yuri_Nikolaevich_Denisyuk,nationality,,
Danielle_Adams,position,,
Thibault_Scotto,position,,
George_Forbes_(New_Zealand_politician),party,New Zealand National Party,1936
Suleiman_the_Magnificent,spouse,,
Georg_Henke,party,,
Brad_Parker,position,,
Audrey_Emery,spouse,,
Bill_Malarky,party,,
Lamberto_Dini,party,The People of Freedom,2009
Dean_Clark_(footballer),position,,
Josip_Boljkovac,party,League of Communists of Yugoslavia,1990
Henry_Pigott,party,Nationalist Party of Australia,1917
Chris_Llewellyn,position,,
James_I._Langtry,nationality,,
Richard_Honaker,party,Democratic Party (United States),1994
Abdulhadi_al-Khawaja,nationality,,
Cyrille_Dumaine,party,,
David_Newhan,position,,
Alfa_Diallo,position,,
Helen_Zille,party,Before 2000,2000
Lyor_Cohen,nationality,,
Mark_Eden,spouse,,
John_Cromwell_(director),spouse,,
Mikhail_Zudenkov,position,,
Ludovic_Chelle,nationality,,
John_Singleton_(Australian_entrepreneur),spouse,,
Erich_Berko,position,,
Aleksandr_Korotkov,position,,
Viktor_Yemelyanov,position,,
Jeff_Radebe,party,,
Anthony_Athanas,nationality,,
K._Keshava_Rao,party,Indian National Congress,2013
Takaloo,nationality,,
Mladen_Vasilev,position,,
Nathaniel_Chalobah,position,,
John_Langdon_(politician),party,,
Sigrid_the_Haughty,spouse,,
Roger_Knapman,party,Since 1997,1997
Princess_Maria_Pia_of_Bourbon-Parma,spouse,Prince Michel of Bourbon-Parma,2003
Nelson_Lemmon,party,National Party of Western Australia,1930
Hubertus_Heil,party,,
Saw_Min_Hla,spouse,Thihathu of Ava,1415
Ronny_Winkler,country,,
Maksim_Yeshkin,position,,
Tony_Mauricio,position,,
Heinz_Simmet,position,,
Doris_Day,spouse,,
Patricia_Locke,nationality,,
Zaid_Ibrahim,party,Democratic Action Party,2017
Yevgeni_Rodin,position,,
encode-err,encode-err,encode-err,encode-err
Heidi_Hautala,party,,
Owen_Klassen,position,,
Wolfgang_Bergold,party,,
Liam_Botham,position,,
Roman_Tuzovskiy,position,,
Eddie_Saenz,position,,
Justin_Foxton,party,Commonwealth Liberal Party,1909
Daniel_Lamont,country,,
Gennadi_Gusarov,position,,
Joe_Barger,position,,
Jack_Wheeler_(American_football),position,,
Zach_Scott,position,,
Cookie_Tackwell,position,,
Aleksandr_Grebnev,position,,
Hedwig_of_Sagan,spouse,,
Alexander_Markuntsov,country,,
Cezaro_Rossetti,country,,
John_Torry,country,,
Vincent_Kesteloot,position,,
Chukwudiebere_Maduabum,position,,
Characters_of_seaQuest_2032,nationality,,
Susan_Newell,country,,
Bets_Borm-Luijkx,party,Christian Democratic Appeal,1980
Anne_Berner,nationality,,
Kevin_Freiberger,position,,
Andrew_Brown_(industrialist),country,,
Andreas_Wiegel,position,,
William_Wynn_(poet),country,,
Stan_Cummins,position,,
Bhim_Singh_(politician),party,Jammu and Kashmir National Panthers Party,1982
Without_a_Box,nationality,,
Dinny_Lacey,nationality,,
Lev_Mayorov,position,,
Chris_Baird,position,,
Robert_Bryan_(poet),country,,
Walter_Broadfoot,party,,
William_Ross_(Canadian_politician),party,Anti-Confederation Party,1867
Grace_Adler,spouse,,
Piers_Merchant,party,,
James_S._Robinson,country,,
Micky_Brennan,position,,
John_Buttigieg_(footballer),position,,
Mike_Lookingland,position,,
Stan_Grant_(journalist),spouse,,
William_Gerard_(died_1609),nationality,,
Andreas_Drugge,position,,
K._Reuben,position,,
Tudor_Deliu,party,,
Tunku_Abdul_Rahman,spouse,Sharifah Rodziah Syed Alwi Barakbah,1939
Celso_Pitta,party,,
Nate_Ackerman,nationality,,
Stewart_Granger,spouse,,
Tom_Larscheid,nationality,,
Carlos_Cure,country,,
Earl_Tatum,position,,
Alan_Goodrich_Kirk,country,,
William_Jones_(optician),nationality,,
David_Ben-Gurion,party,,
Abner_O._Shaw,country,,
Bart_De_Wever,party,Before 2001,2001
Gianfranco_Zigoni,position,,
