subj,p1,p2
http://dbpedia.org/resource/Mauro_Canal,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Jean-Claude_Mukanya,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Muhammad_Osman_Said,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Shacky_Tauro,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Kayla_Blake,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Marián_Kello,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Henry_Canoy,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Romeo_Zondervan,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Lazar_Veselinović,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Milan_Karatantchev,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Silvio_Vella,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Bobby_Shmurda,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/C._E._Byrd,http://dbpedia.org/ontology/almaMater,http://dbpedia.org/property/almaMater
http://dbpedia.org/resource/Pitcho_Womba_Konga,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Ardeshir_Hosseinpour,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Odai_Al-Saify,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Tshinabu_Wa_Munda,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Ladislav_Žemla,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Amine_Gülşe,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Travis_d'Arnaud,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Mónica_Alvarado,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Sergey_Izgiyayev,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Alfred_Jackson_(American_football),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Ram_Kapoor,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Tao_Yuan_(footballer),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Mwanza_Mukombo,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Luo_Meizhen,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Katy_de_la_Cruz,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Manuel_Díaz_Rodríguez,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
http://dbpedia.org/resource/Christoph_Klippel,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Tatiana_Matveeva_(footballer),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Alexander_Ogorodnikov,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Abraham_Lincoln_Neiman,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Avik_Roy,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Radim_Šimek,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Kanika_Maheshwari,http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Tom_Dennison_(political_boss),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/Rodney_Williams_(punter),http://dbpedia.org/property/birthPlace,http://dbpedia.org/property/placeOfBirth
http://dbpedia.org/resource/W._Alton_Jones,http://dbpedia.org/property/deathPlace,http://dbpedia.org/property/placeOfDeath
