subject,property,current_or_latest,start_time
Igor_Dodon,party,,
George_Miller_(director),spouse,Margaret_Sixel,1995-01-01T00:00:00Z
Emperor_Gaozong_of_Song,spouse,,
Eric_Dawe,party,,
Yury_Luzhkov,party,,
Desmond_Lee_(Hong_Kong_politician),party,,
Christina_Stone,spouse,Jeffrey_Stone,1965-01-01T00:00:00Z
Jacqueline_Kennedy_Onassis,spouse,Aristotle_Onassis,1968-10-20T00:00:00Z
Noli_de_Castro,party,,
Mikhail_Gorbachev,party,,
Angelito_Gatlabayan,party,,
Ivan_Pilip,party,,
Kath_Day-Knight,spouse,,
Helen_Suzman,party,,
Musa_Hilal,party,,
Richard_Widmark,spouse,Susan_Blanchard_(socialite),1999-01-01T00:00:00Z
Karl_Arnold,party,,
Joan_Dillon,spouse,,
Emperor_Jing_of_Han,spouse,,
Whitmell_P._Martin,party,,
Nitish_Kumar,party,,
Gwilym_Tew,country,,
Richard_Merlini,party,,
Robert_G._Neumann,country,,
Khodair_al-Khozaei,party,,
Robert_Young_(biblical_scholar),country,,
Pwa_Saw,spouse,,
William_Ewart_Gladstone,party,,
Colin_Thornton-Kemsley,party,,
George_Maclean,country,,
Catherine_Yurievskaya,spouse,Serge_Obolensky,1916-01-01T00:00:00Z
Len_Brown,party,,
Wilhelm_Bachem,party,,
Lord_Lieutenant_of_Argyllshire,country,,
William_Murdoch_(poet),country,,
Nathaniel_Macon,party,,
Billy_Warlock,spouse,Julie_Pinson,2006-01-01T00:00:00Z
Stan_Woloshyn,party,,
Edward_Owen_(translator),country,,
Karen_Black,spouse,Stephen_Eckelberry,1987-01-01T00:00:00Z
Pehr_Evind_Svinhufvud,party,,
K._Kelappan,party,,
Ursula_Kuczynski,party,Communist_Party_of_Germany,1926-01-01T00:00:00Z
Condoleezza_Rice,party,,
Sid_French,party,,
Laurie_Metcalf,spouse,Matt_Roth_(actor),1993-01-01T00:00:00Z
Enid_Bennett,spouse,Sidney_Franklin_(director),1963-01-01T00:00:00Z
Mohamed_Boudiaf,party,,
Lucie_Ahl,country,,
James_Dixon,party,,
Don_Taylor_(American_actor_and_director),spouse,Hazel_Court,1963-03-15T00:00:00Z
Zainab_Cobbold,country,,
Chuck_Baldwin,party,,
Morag_Joss,country,,
Reza_Shah,spouse,,
Oliver_H._Smith,party,,
Marco_Pannella,party,,
Hugh_Jermyn,country,,
Sandra_Kalniete,party,,
Enoch_Powell,party,,
Charles_Scott_(governor),country,,
Walter_Ellis,country,,
Greg_Clark,party,,
Peter_Hain,party,,
Charles_Hamlin_(general),country,,
Kenneth_MacKenna,spouse,Mary_Philips,1938-01-01T00:00:00Z
Connie_Mulder,party,,
Peter_Liese,party,,
Daniel_Kilgore_(politician),party,,
Walter_Lini,party,,
Hermann_Raster,party,,
Prince_Carlos_of_Bourbon-Two_Sicilies,spouse,,
Otto_Hofmann,country,,
Andrew_Henderson_Leith_Fraser,country,,
William_Barclay_(jurist),country,,
Drewe_Henley,spouse,Felicity_Kendal,1968-01-01T00:00:00Z
George_Mackarness,country,,
Sheila_Ryan,spouse,Allan_Lane,1945-01-01T00:00:00Z
Tommy_Douglas,party,,
Emperor_Zhongzong_of_Tang,spouse,,
John_Georges,party,,
Darren_Burnett,country,,
Sylvester_Perry_Ryan,party,,
Laurent_Wauquiez,party,,
Robert_Burns_Smith,party,,
Haron_Amin,country,,
Haji_Ayub_Afridi,party,,
Antoine_Pinay,party,,
John_Jacob_Astor_IV,spouse,Madeleine_Astor,1911-01-01T00:00:00Z
Wes_Farrell,spouse,Pamela_Hensley,1979-01-01T00:00:00Z
Mike_Johanns,party,,
Pattie_Boyd,spouse,Eric_Clapton,1979-01-01T00:00:00Z
Brian_Taylor_(journalist),country,,
George_Douglas_Stanley,party,,
William_Meston,country,,
Sergei_Rylov,country,,
Thomas_Murchison,country,,
David_Winderlich,party,,
James_W._Nye,party,,
Aristotle_Onassis,spouse,Jacqueline_Kennedy_Onassis,1968-10-20T00:00:00Z
Michael_Brown_(historian),country,,
Angus_Durie_Miller_Farquharson,country,,
Saifuddin_Choudhury,party,,
Norm_Coleman,party,,
Steven_Lewis_Simpson,country,,
Viktoras_Muntianas,party,,
Tim_Stevenson,party,,
