subject,property,current_or_latest,start_time
Doddington_and_Harby_railway_station,owner,,
Bordon_railway_station,owner,,
Kingsbury_Oil_Terminal,owner,,
Teesside_power_station,owner,,
Juinagar_railway_station,owner,,
Solana_Generating_Station,owner,,
Old_Oak_Common_railway_station,owner,,
Park_Theatre_(Vancouver),owner,,
Tumby_Woodside_railway_station,owner,,
The_Cavern_Club,owner,,
Karjat_railway_station,owner,,
Jaber_Al-Ahmad_International_Stadium,owner,,
Warrenby_Halt_railway_station,owner,,
Waitakere_Railway_Station,owner,,
Gare_de_Famechon,owner,,
Gare_de_Serqueux,owner,,
Hurstbourne_railway_station,owner,,
Menemen_railway_station,owner,,
Gare_de_Castel,owner,,
Gare_d'Ailly-sur-Somme,owner,,
Country_Club_Plaza,owner,,
Warren_(Erie_Railroad_station),owner,,
Swinton_Central_railway_station,owner,,
Coquitlam_Central_station,owner,,
Chilcompton_railway_station,owner,,
Hailsham_railway_station,owner,,
Dukeries_Junction_railway_station,owner,,
Macarthur_Wind_Farm,owner,,
Gare_de_Longroy-Gamaches,owner,,
Ashby_Magna_railway_station,owner,,
Ivanpah_Solar_Power_Facility,owner,,
Trinity_Railway_Express,owner,,
Rungsted_Kyst_Station,owner,,
Gare_de_Mennessis,owner,,
Quartier_DIX30,owner,,
Bon_Accord_&_St_Nicholas,owner,,
Gorleston-on-Sea_railway_station,owner,,
Gare_de_Curchy-Dreslincourt,owner,,
Mayfield_railway_station,owner,,
Gare_de_Saint-Martin-du-Vivier,owner,,
Badlapur_railway_station,owner,,
Bath_County_Pumped_Storage_Station,owner,,
Parque_Ross,owner,,
Habibganj_railway_station,owner,,
Ellerslie_Railway_Station,owner,,
Edwinstowe_railway_station,owner,,
Smeeth_Road_railway_station,owner,,
Grant_Street_Station,owner,,
RCAF_Station_Grostenquin,owner,,
Sheerness_Generating_Station,owner,,
William_H._Zimmer_Power_Station,owner,,
Gare_de_Mulhouse,owner,,
Ulhasnagar_railway_station,owner,,
Nandiambakkam_railway_station,owner,,
Cowes_railway_station,owner,,
Sevvapet_Road_railway_station,owner,,
Wawasan_LRT_Station,owner,,
Kalwa_railway_station,owner,,
Government_House_(Prince_Edward_Island),owner,,
Sylvia_Park_Railway_Station,owner,,
Sanpada_railway_station,owner,,
Gare_de_Tricot,owner,,
Glenmarie_LRT_Station,owner,,
Taman_Bahagia_LRT_Station,owner,,
